"","Region","Year","Inflation"
"1","Africa (Region)","1980",16.6
"2","Asia and Pacific","1980",16
"3","Europe","1980",12.2
"4","Middle East (Region)","1980",14.8
"5","Western Hemisphere (Region)","1980",23.5
"6","Africa (Region)","1981",15.8
"7","Asia and Pacific","1981",10.4
"8","Europe","1981",11.9
"9","Middle East (Region)","1981",12.4
"10","Western Hemisphere (Region)","1981",21.8
"11","Africa (Region)","1982",14.5
"12","Asia and Pacific","1982",7.4
"13","Europe","1982",12.7
"14","Middle East (Region)","1982",11.5
"15","Western Hemisphere (Region)","1982",21.1
"16","Africa (Region)","1983",15.7
"17","Asia and Pacific","1983",6.9
"18","Europe","1983",8.4
"19","Middle East (Region)","1983",11.3
"20","Western Hemisphere (Region)","1983",23.2
"21","Africa (Region)","1984",13.6
"22","Asia and Pacific","1984",7.6
"23","Europe","1984",8.5
"24","Middle East (Region)","1984",11.3
"25","Western Hemisphere (Region)","1984",24.8
"26","Africa (Region)","1985",13.7
"27","Asia and Pacific","1985",7.5
"28","Europe","1985",5.9
"29","Middle East (Region)","1985",9.4
"30","Western Hemisphere (Region)","1985",26.9
"31","Africa (Region)","1986",17.1
"32","Asia and Pacific","1986",7.3
"33","Europe","1986",4
"34","Middle East (Region)","1986",11.3
"35","Western Hemisphere (Region)","1986",22
"36","Africa (Region)","1987",16.2
"37","Asia and Pacific","1987",7.6
"38","Europe","1987",4
"39","Middle East (Region)","1987",17
"40","Western Hemisphere (Region)","1987",30.1
"41","Africa (Region)","1988",14.3
"42","Asia and Pacific","1988",10.9
"43","Europe","1988",5.3
"44","Middle East (Region)","1988",12.5
"45","Western Hemisphere (Region)","1988",43.9
"46","Africa (Region)","1989",16.4
"47","Asia and Pacific","1989",9.6
"48","Europe","1989",9.8
"49","Middle East (Region)","1989",8.5
"50","Western Hemisphere (Region)","1989",52.5
"51","Africa (Region)","1990",14.1
"52","Asia and Pacific","1990",8.4
"53","Europe","1990",13.8
"54","Middle East (Region)","1990",5.1
"55","Western Hemisphere (Region)","1990",64.4
"56","Africa (Region)","1991",26.5
"57","Asia and Pacific","1991",9.5
"58","Europe","1991",10.6
"59","Middle East (Region)","1991",10.7
"60","Western Hemisphere (Region)","1991",30.7
"61","Africa (Region)","1992",31.1
"62","Asia and Pacific","1992",9
"63","Europe","1992",80.3
"64","Middle East (Region)","1992",9.8
"65","Western Hemisphere (Region)","1992",36.1
"66","Africa (Region)","1993",27.5
"67","Asia and Pacific","1993",15.4
"68","Europe","1993",66.1
"69","Middle East (Region)","1993",9.5
"70","Western Hemisphere (Region)","1993",45.8
"71","Africa (Region)","1994",34.2
"72","Asia and Pacific","1994",17.5
"73","Europe","1994",33.3
"74","Middle East (Region)","1994",12.7
"75","Western Hemisphere (Region)","1994",46.3
"76","Africa (Region)","1995",28.5
"77","Asia and Pacific","1995",12.3
"78","Europe","1995",22.6
"79","Middle East (Region)","1995",17.1
"80","Western Hemisphere (Region)","1995",11.9
"81","Africa (Region)","1996",26.3
"82","Asia and Pacific","1996",8.7
"83","Europe","1996",9.6
"84","Middle East (Region)","1996",9
"85","Western Hemisphere (Region)","1996",7.3
"86","Africa (Region)","1997",12.5
"87","Asia and Pacific","1997",7.1
"88","Europe","1997",6.8
"89","Middle East (Region)","1997",5.7
"90","Western Hemisphere (Region)","1997",4.9
"91","Africa (Region)","1998",8
"92","Asia and Pacific","1998",9.8
"93","Europe","1998",5.5
"94","Middle East (Region)","1998",5.8
"95","Western Hemisphere (Region)","1998",3.5
"96","Africa (Region)","1999",8.9
"97","Asia and Pacific","1999",4.8
"98","Europe","1999",9.7
"99","Middle East (Region)","1999",5.6
"100","Western Hemisphere (Region)","1999",4
"101","Africa (Region)","2000",9.4
"102","Asia and Pacific","2000",3.6
"103","Europe","2000",5.8
"104","Middle East (Region)","2000",3.5
"105","Western Hemisphere (Region)","2000",4.7
"106","Africa (Region)","2001",8.2
"107","Asia and Pacific","2001",4
"108","Europe","2001",5.4
"109","Middle East (Region)","2001",3.7
"110","Western Hemisphere (Region)","2001",3.8
"111","Africa (Region)","2002",7.1
"112","Asia and Pacific","2002",3.3
"113","Europe","2002",4.1
"114","Middle East (Region)","2002",5.7
"115","Western Hemisphere (Region)","2002",2.9
"116","Africa (Region)","2003",7.6
"117","Asia and Pacific","2003",3.1
"118","Europe","2003",3.7
"119","Middle East (Region)","2003",5.8
"120","Western Hemisphere (Region)","2003",4.1
"121","Africa (Region)","2004",7.5
"122","Asia and Pacific","2004",3.4
"123","Europe","2004",3.5
"124","Middle East (Region)","2004",5.9
"125","Western Hemisphere (Region)","2004",3.5
"126","Africa (Region)","2005",7.4
"127","Asia and Pacific","2005",3.4
"128","Europe","2005",3.9
"129","Middle East (Region)","2005",7
"130","Western Hemisphere (Region)","2005",3.8
"131","Africa (Region)","2006",5.7
"132","Asia and Pacific","2006",3.9
"133","Europe","2006",3.5
"134","Middle East (Region)","2006",9.5
"135","Western Hemisphere (Region)","2006",3.4
"136","Africa (Region)","2007",6.3
"137","Asia and Pacific","2007",4.4
"138","Europe","2007",3.5
"139","Middle East (Region)","2007",11.2
"140","Western Hemisphere (Region)","2007",3.2
"141","Africa (Region)","2008",11
"142","Asia and Pacific","2008",6.7
"143","Europe","2008",5.6
"144","Middle East (Region)","2008",12.6
"145","Western Hemisphere (Region)","2008",4.4
"146","Africa (Region)","2009",9.5
"147","Asia and Pacific","2009",2.8
"148","Europe","2009",2.7
"149","Middle East (Region)","2009",3.8
"150","Western Hemisphere (Region)","2009",1.1
"151","Africa (Region)","2010",7.6
"152","Asia and Pacific","2010",4.3
"153","Europe","2010",2.8
"154","Middle East (Region)","2010",5.4
"155","Western Hemisphere (Region)","2010",2.4
"156","Africa (Region)","2011",8.9
"157","Asia and Pacific","2011",5.6
"158","Europe","2011",4.2
"159","Middle East (Region)","2011",8.3
"160","Western Hemisphere (Region)","2011",3.7
"161","Africa (Region)","2012",8.9
"162","Asia and Pacific","2012",4.1
"163","Europe","2012",3.2
"164","Middle East (Region)","2012",9
"165","Western Hemisphere (Region)","2012",2.8
"166","Africa (Region)","2013",6.6
"167","Asia and Pacific","2013",4
"168","Europe","2013",2.4
"169","Middle East (Region)","2013",9.3
"170","Western Hemisphere (Region)","2013",2.3
"171","Africa (Region)","2014",7.1
"172","Asia and Pacific","2014",3.6
"173","Europe","2014",2
"174","Middle East (Region)","2014",5.2
"175","Western Hemisphere (Region)","2014",2.6
"176","Africa (Region)","2015",7.4
"177","Asia and Pacific","2015",2.6
"178","Europe","2015",2.9
"179","Middle East (Region)","2015",4
"180","Western Hemisphere (Region)","2015",1.6
"181","Africa (Region)","2016",9.9
"182","Asia and Pacific","2016",2.7
"183","Europe","2016",1.5
"184","Middle East (Region)","2016",3.6
"185","Western Hemisphere (Region)","2016",2.4
"186","Africa (Region)","2017",12.7
"187","Asia and Pacific","2017",2.7
"188","Europe","2017",2.2
"189","Middle East (Region)","2017",2.9
"190","Western Hemisphere (Region)","2017",3.4
"191","Africa (Region)","2018",11.3
"192","Asia and Pacific","2018",3
"193","Europe","2018",2.2
"194","Middle East (Region)","2018",8.4
"195","Western Hemisphere (Region)","2018",3.7
"196","Africa (Region)","2019",9
"197","Asia and Pacific","2019",3.4
"198","Europe","2019",2
"199","Middle East (Region)","2019",6.3
"200","Western Hemisphere (Region)","2019",3.5
"201","Africa (Region)","2020",10.6
"202","Asia and Pacific","2020",3.2
"203","Europe","2020",1.1
"204","Middle East (Region)","2020",9.8
"205","Western Hemisphere (Region)","2020",2.7
"206","Africa (Region)","2021",12.8
"207","Asia and Pacific","2021",3
"208","Europe","2021",3.5
"209","Middle East (Region)","2021",12.1
"210","Western Hemisphere (Region)","2021",6.1
"211","Africa (Region)","2022",14.3
"212","Asia and Pacific","2022",6.6
"213","Europe","2022",9.9
"214","Middle East (Region)","2022",14.5
"215","Western Hemisphere (Region)","2022",9.7
"216","Africa (Region)","2023",15.5
"217","Asia and Pacific","2023",5.8
"218","Europe","2023",6.6
"219","Middle East (Region)","2023",12.6
"220","Western Hemisphere (Region)","2023",7
"221","Africa (Region)","2024",12.1
"222","Asia and Pacific","2024",4.6
"223","Europe","2024",3.6
"224","Middle East (Region)","2024",8.8
"225","Western Hemisphere (Region)","2024",4.3
"226","Africa (Region)","2025",8.9
"227","Asia and Pacific","2025",3.8
"228","Europe","2025",2.7
"229","Middle East (Region)","2025",7.4
"230","Western Hemisphere (Region)","2025",3.5
"231","Africa (Region)","2026",7.7
"232","Asia and Pacific","2026",3.5
"233","Europe","2026",2.4
"234","Middle East (Region)","2026",7.1
"235","Western Hemisphere (Region)","2026",3.3
"236","Africa (Region)","2027",7.3
"237","Asia and Pacific","2027",3.5
"238","Europe","2027",2.3
"239","Middle East (Region)","2027",7
"240","Western Hemisphere (Region)","2027",3.2
"241","Africa (Region)","2028",6.6
"242","Asia and Pacific","2028",3.5
"243","Europe","2028",2.3
"244","Middle East (Region)","2028",6.9
"245","Western Hemisphere (Region)","2028",3.1
